Date,MAE,SMAPE (%)
2021-01-01,6.147156,12.597109
2021-01-02,6.755248,13.515329
2021-01-03,7.365239,15.673073
2021-01-04,13.351287,24.053016
2021-01-05,11.671414,18.921679
2021-01-06,15.909021,23.231552
2021-01-07,21.539105,27.691899
2021-01-08,20.784524,25.072238
2021-01-09,14.91978,22.330606
2021-01-10,5.873465,10.146135
2021-01-11,14.413207,22.377641
2021-01-12,7.62542,12.161532
2021-01-13,13.962591,19.59308
2021-01-14,15.983149,22.619178
2021-01-15,14.761525,20.595266
2021-01-16,12.878664,20.648591
2021-01-17,7.008366,12.279043
2021-01-18,16.482232,25.246968
2021-01-19,8.375346,14.311757
2021-01-20,10.058931,20.706916
2021-01-21,10.304969,33.635804
2021-01-22,12.57799,27.145335
2021-01-23,6.613222,12.842713
2021-01-24,6.211991,12.518273
2021-01-25,15.48707,26.675133
2021-01-26,11.098947,17.800593
2021-01-27,8.681798,15.152359
2021-01-28,5.999445,11.056367
2021-01-29,6.935568,15.212871
2021-01-30,6.417433,13.38746
2021-01-31,5.603089,11.53748
2021-02-01,13.11075,24.106114
2021-02-02,7.83253,16.899119
2021-02-03,8.871804,25.321017
2021-02-04,12.477986,25.200598
2021-02-05,5.079701,9.849547
2021-02-06,11.77312,28.841202
2021-02-07,14.09428,68.039756
2021-02-08,21.308522,50.163777
2021-02-09,17.748754,29.081665
2021-02-10,18.34847,26.028198
2021-02-11,20.384158,25.010315
2021-02-12,8.799769,14.117873
2021-02-13,7.589609,13.695275
2021-02-14,6.784757,13.790227
2021-02-15,9.924213,19.277773
2021-02-16,7.824918,14.527667
2021-02-17,7.04738,13.936304
2021-02-18,5.94432,12.215488
2021-02-19,5.608834,11.548507
2021-02-20,13.066487,36.1413
2021-02-21,8.292947,26.051426
2021-02-22,11.374456,25.014678
2021-02-23,7.212942,16.647288
2021-02-24,7.57798,22.605058
2021-02-25,8.554506,18.539189
2021-02-26,5.964227,12.359965
2021-02-27,6.208269,13.903117
2021-02-28,6.68717,16.316684
2021-03-01,9.01242,18.050049
2021-03-02,8.654272,15.578181
2021-03-03,6.061099,11.134189
2021-03-04,5.943873,10.987451
2021-03-05,6.307197,11.962383
2021-03-06,7.025042,15.132583
2021-03-07,4.089095,8.57777
2021-03-08,16.352699,27.235258
2021-03-09,9.209114,14.704572
2021-03-10,6.939592,12.803471
2021-03-11,10.830092,26.967984
2021-03-12,8.183273,23.192407
2021-03-13,12.894928,49.473642
2021-03-14,13.901754,54.531716
2021-03-15,16.889582,38.331783
2021-03-16,10.945002,20.076839
2021-03-17,8.826859,15.745549
2021-03-18,12.607666,19.944945
2021-03-19,9.949318,17.365024
2021-03-20,5.50805,10.612486
2021-03-21,14.439217,33.990555
2021-03-22,17.475987,31.523281
2021-03-23,7.993033,12.718609
2021-03-24,7.468242,12.064084
2021-03-25,8.015822,13.203478
2021-03-26,7.817063,14.535544
2021-03-27,16.198146,43.511947
2021-03-28,18.89879,61.939619
2021-03-29,19.680985,45.757823
2021-03-30,12.9702,23.841347
2021-03-31,8.982231,15.71208
2021-04-01,7.14698,13.429781
2021-04-02,12.308414,35.031705
2021-04-03,9.946359,33.816841
2021-04-04,12.53371,52.733864
2021-04-05,16.392118,65.844223
2021-04-06,25.19072,51.497591
2021-04-07,12.268983,15.29768
2021-04-08,8.204797,11.325215
2021-04-09,7.256507,10.08054
2021-04-10,6.243855,10.484728
2021-04-11,6.878739,12.858279
2021-04-12,14.213134,19.953721
2021-04-13,17.012072,19.256273
2021-04-14,12.989931,15.592444
2021-04-15,6.90317,9.057131
2021-04-16,5.98491,8.472484
2021-04-17,7.592778,11.796556
2021-04-18,8.923944,13.375717
2021-04-19,11.338491,13.667203
2021-04-20,4.592557,5.374364
2021-04-21,6.993311,9.487144
2021-04-22,5.05854,7.720942
2021-04-23,6.747701,11.077123
2021-04-24,18.870341,34.415686
2021-04-25,20.030998,61.12656
2021-04-26,7.870451,12.940212
2021-04-27,11.896691,19.29078
2021-04-28,6.972333,10.634614
2021-04-29,10.512841,15.757107
2021-04-30,7.271478,10.091242
2021-05-01,10.229298,17.087612
2021-05-02,16.222185,41.669948
2021-05-03,16.619951,26.569894
2021-05-04,21.575921,65.932762
2021-05-05,8.201944,13.354829
2021-05-06,14.811055,21.649747
2021-05-07,10.519408,14.680258
2021-05-08,25.113866,60.429801
2021-05-09,33.161816,138.570402
2021-05-10,12.364664,22.317955
2021-05-11,17.373833,26.515095
2021-05-12,8.799178,12.995803
2021-05-13,8.521675,12.986238
2021-05-14,3.736004,5.089706
2021-05-15,15.917024,26.534348
2021-05-16,26.093746,78.301428
2021-05-17,32.378213,56.411962
2021-05-18,10.638556,15.402278
2021-05-19,11.990545,15.909885
2021-05-20,12.186271,19.406806
2021-05-21,27.565573,84.996452
2021-05-22,23.400727,126.199549
2021-05-23,27.402568,101.352386
2021-05-24,15.441292,49.956584
2021-05-25,21.985722,40.26789
2021-05-26,16.093951,24.888142
2021-05-27,11.353542,15.683532
2021-05-28,9.149461,12.528776
2021-05-29,14.914435,28.480968
2021-05-30,27.432186,77.386746
2021-05-31,26.373033,46.985619
2021-06-01,10.846342,15.852063
2021-06-02,8.664922,13.072311
2021-06-03,7.116134,10.768925
2021-06-04,9.296455,13.08903
2021-06-05,8.641416,13.513945
2021-06-06,9.925372,17.347503
2021-06-07,17.028078,23.976877
2021-06-08,8.88441,11.674558
2021-06-09,6.444539,8.4208
2021-06-10,8.388454,10.780881
2021-06-11,7.766365,10.062399
2021-06-12,26.866878,59.45513
2021-06-13,34.901367,107.531638
2021-06-14,33.889916,55.280974
2021-06-15,11.617685,14.308403
2021-06-16,12.348367,14.261942
2021-06-17,12.617191,15.504815
2021-06-18,8.854087,10.899813
2021-06-19,9.08081,12.026469
2021-06-20,18.086002,31.187993
2021-06-21,17.975357,24.810067
2021-06-22,11.145901,13.739738
2021-06-23,13.878527,17.284924
2021-06-24,13.165667,15.18299
2021-06-25,6.507865,7.52429
2021-06-26,9.493273,12.446671
2021-06-27,25.773681,48.924155
2021-06-28,9.613783,11.225315
2021-06-29,14.096406,16.597634
2021-06-30,8.502756,9.561816
